time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-26 00:00:00+00:00,0,0,1,1
2023-01-30 00:00:00+00:00,0,0,29,2
2023-02-15 00:00:00+00:00,2,1,0,0
2023-02-16 00:00:00+00:00,1,1,0,0
2023-02-22 00:00:00+00:00,1,1,0,0
2023-03-02 00:00:00+00:00,2,1,2,1
2023-03-15 00:00:00+00:00,1,1,0,0
2023-03-18 00:00:00+00:00,0,0,3,1
2023-03-21 00:00:00+00:00,1,1,0,0
2023-04-01 00:00:00+00:00,1,1,4,2
2023-04-02 00:00:00+00:00,0,0,1,1
2023-05-09 00:00:00+00:00,1,1,0,0
2023-05-28 00:00:00+00:00,0,0,15,1
2023-05-29 00:00:00+00:00,2,2,0,0
2023-06-14 00:00:00+00:00,1,1,3,2
2023-06-22 00:00:00+00:00,2,1,0,0
2023-06-27 00:00:00+00:00,1,1,0,0
2023-07-04 00:00:00+00:00,0,0,1,1
2023-07-10 00:00:00+00:00,0,0,1,1
2023-07-12 00:00:00+00:00,1,1,0,0
2023-07-17 00:00:00+00:00,0,0,1,1
2023-07-18 00:00:00+00:00,0,0,15,1
2023-07-28 00:00:00+00:00,2,1,0,0
2023-08-07 00:00:00+00:00,2,1,22,1
2023-08-14 00:00:00+00:00,1,1,0,0
2023-08-29 00:00:00+00:00,2,1,0,0
2023-09-07 00:00:00+00:00,3,2,4,1
2023-09-08 00:00:00+00:00,0,0,2,1
2023-09-20 00:00:00+00:00,0,0,2,1
2023-09-25 00:00:00+00:00,0,0,60,1
2023-10-10 00:00:00+00:00,2,1,0,0
2023-10-12 00:00:00+00:00,1,1,0,0
2023-10-24 00:00:00+00:00,0,0,6,1
2023-11-12 00:00:00+00:00,0,0,1,1
2023-11-23 00:00:00+00:00,0,0,1,1
2023-11-25 00:00:00+00:00,1,1,0,0
2023-11-28 00:00:00+00:00,0,0,1,1
2023-11-29 00:00:00+00:00,0,0,1,1
2023-12-15 00:00:00+00:00,0,0,1,1
2023-12-29 00:00:00+00:00,0,0,2,1
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-03 00:00:00+00:00,0,0,1,1
2024-01-12 00:00:00+00:00,0,0,12,1
2024-01-13 00:00:00+00:00,0,0,22,1
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,2,1
2024-01-18 00:00:00+00:00,1,1,0,0
2024-02-12 00:00:00+00:00,0,0,1,1
2024-02-26 00:00:00+00:00,0,0,23,1
2024-03-04 00:00:00+00:00,0,0,1,1
2024-03-11 00:00:00+00:00,1,1,0,0
2024-03-15 00:00:00+00:00,0,0,1,1
2024-03-27 00:00:00+00:00,0,0,27,1
2024-03-29 00:00:00+00:00,1,1,0,0
2024-04-11 00:00:00+00:00,0,0,1,1
2024-05-03 00:00:00+00:00,0,0,1,1
2024-05-08 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,0,0,3,1
2024-05-10 00:00:00+00:00,0,0,1,1
2024-05-24 00:00:00+00:00,1,1,14,1
2024-05-25 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,0,0
2024-06-19 00:00:00+00:00,0,0,9,1
2024-06-26 00:00:00+00:00,1,1,32,1
2024-06-27 00:00:00+00:00,0,0,1,1
2024-07-01 00:00:00+00:00,0,0,6,1
2024-07-03 00:00:00+00:00,1,1,7,2
2024-08-16 00:00:00+00:00,1,1,0,0
2024-09-06 00:00:00+00:00,0,0,2,1
2024-09-10 00:00:00+00:00,0,0,4,1
2024-09-19 00:00:00+00:00,0,0,9,1
