time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-03 00:00:00+00:00,2,2,1,1
2023-02-04 00:00:00+00:00,1,1,0,0
2023-02-11 00:00:00+00:00,1,1,0,0
2023-03-02 00:00:00+00:00,2,1,1,1
2023-04-01 00:00:00+00:00,0,0,10,1
2023-04-23 00:00:00+00:00,1,1,0,0
2023-05-09 00:00:00+00:00,1,1,0,0
2023-05-25 00:00:00+00:00,0,0,1,1
2023-06-05 00:00:00+00:00,1,1,0,0
2023-06-21 00:00:00+00:00,2,1,0,0
2023-07-12 00:00:00+00:00,1,1,0,0
2023-07-19 00:00:00+00:00,0,0,10,1
2023-07-28 00:00:00+00:00,2,1,0,0
2023-08-08 00:00:00+00:00,2,1,0,0
2023-08-14 00:00:00+00:00,1,1,0,0
2023-08-29 00:00:00+00:00,2,1,0,0
2023-09-01 00:00:00+00:00,2,1,0,0
2023-10-04 00:00:00+00:00,1,1,0,0
2023-10-10 00:00:00+00:00,2,1,1,1
2023-10-24 00:00:00+00:00,0,0,7,1
2023-11-09 00:00:00+00:00,0,0,1,1
2023-11-23 00:00:00+00:00,1,1,0,0
2023-12-22 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,1,1
2024-01-14 00:00:00+00:00,1,1,0,0
2024-02-09 00:00:00+00:00,1,1,0,0
2024-02-26 00:00:00+00:00,0,0,1,1
2024-03-03 00:00:00+00:00,1,1,0,0
2024-03-06 00:00:00+00:00,0,0,25,1
2024-03-07 00:00:00+00:00,1,1,0,0
2024-03-28 00:00:00+00:00,1,1,0,0
2024-03-29 00:00:00+00:00,1,1,0,0
2024-04-22 00:00:00+00:00,1,1,0,0
2024-05-08 00:00:00+00:00,0,0,1,1
2024-05-24 00:00:00+00:00,1,1,0,0
2024-05-25 00:00:00+00:00,1,1,0,0
2024-06-07 00:00:00+00:00,0,0,3,1
2024-06-10 00:00:00+00:00,0,0,3,1
2024-06-14 00:00:00+00:00,2,2,0,0
2024-08-19 00:00:00+00:00,1,1,0,0
