time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-26 00:00:00+00:00,0,0,1,1
2023-02-07 00:00:00+00:00,0,0,2,2
2023-02-08 00:00:00+00:00,1,1,12,1
2023-02-11 00:00:00+00:00,1,1,0,0
2023-02-13 00:00:00+00:00,0,0,1,1
2023-02-15 00:00:00+00:00,2,1,0,0
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-12 00:00:00+00:00,1,1,0,0
2023-03-13 00:00:00+00:00,1,1,0,0
2023-03-19 00:00:00+00:00,1,1,0,0
2023-03-31 00:00:00+00:00,1,1,0,0
2023-04-01 00:00:00+00:00,0,0,1,1
2023-05-09 00:00:00+00:00,1,1,0,0
2023-05-29 00:00:00+00:00,1,1,0,0
2023-06-22 00:00:00+00:00,2,1,0,0
2023-06-27 00:00:00+00:00,1,1,0,0
2023-07-12 00:00:00+00:00,1,1,0,0
2023-07-23 00:00:00+00:00,1,1,0,0
2023-07-28 00:00:00+00:00,2,1,0,0
2023-08-03 00:00:00+00:00,0,0,1,1
2023-08-20 00:00:00+00:00,2,1,0,0
2023-08-29 00:00:00+00:00,2,1,0,0
2023-09-04 00:00:00+00:00,0,0,7,1
2023-09-07 00:00:00+00:00,2,1,0,0
2023-09-22 00:00:00+00:00,0,0,4,1
2023-09-24 00:00:00+00:00,1,1,0,0
2023-09-26 00:00:00+00:00,0,0,1,1
2023-09-30 00:00:00+00:00,1,1,4,1
2023-10-01 00:00:00+00:00,0,0,1,1
2023-10-02 00:00:00+00:00,0,0,2,1
2023-10-03 00:00:00+00:00,0,0,1,1
2023-10-07 00:00:00+00:00,2,1,0,0
2023-10-10 00:00:00+00:00,2,1,0,0
2023-10-24 00:00:00+00:00,0,0,6,1
2023-12-20 00:00:00+00:00,1,1,0,0
2023-12-30 00:00:00+00:00,4,2,0,0
2024-01-05 00:00:00+00:00,1,1,0,0
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-30 00:00:00+00:00,0,0,1,1
2024-02-07 00:00:00+00:00,0,0,1,1
2024-02-08 00:00:00+00:00,0,0,7,1
2024-02-09 00:00:00+00:00,1,1,0,0
2024-02-12 00:00:00+00:00,0,0,3,1
2024-03-04 00:00:00+00:00,0,0,1,1
2024-03-09 00:00:00+00:00,1,1,0,0
2024-03-16 00:00:00+00:00,0,0,4,1
2024-03-22 00:00:00+00:00,0,0,2,1
2024-03-29 00:00:00+00:00,1,1,0,0
2024-05-08 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,0,0,7,1
2024-05-15 00:00:00+00:00,0,0,9,1
2024-05-24 00:00:00+00:00,1,1,0,0
2024-05-25 00:00:00+00:00,1,1,0,0
2024-05-29 00:00:00+00:00,0,0,21,1
2024-05-30 00:00:00+00:00,0,0,2,1
2024-05-31 00:00:00+00:00,0,0,3,1
2024-06-07 00:00:00+00:00,0,0,11,1
2024-06-14 00:00:00+00:00,1,1,0,0
2024-07-16 00:00:00+00:00,1,1,0,0
2024-07-26 00:00:00+00:00,1,1,0,0
2024-08-16 00:00:00+00:00,1,1,0,0
2024-09-06 00:00:00+00:00,0,0,2,1
2024-09-09 00:00:00+00:00,0,0,4,1
2024-09-10 00:00:00+00:00,1,1,1,1
2024-09-13 00:00:00+00:00,0,0,6,1
2024-09-28 00:00:00+00:00,0,0,1,1
2024-09-29 00:00:00+00:00,0,0,1,1
2024-09-30 00:00:00+00:00,0,0,2,1
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-26 00:00:00+00:00,1,1,0,0
2024-10-27 00:00:00+00:00,1,1,0,0
2024-11-14 00:00:00+00:00,1,1,0,0
