time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-13 00:00:00+00:00,7,3,13.0,1.0
2024-09-14 00:00:00+00:00,1,1,,
2024-09-15 00:00:00+00:00,1,1,,
2024-09-16 00:00:00+00:00,1,1,12.0,1.0
2024-09-17 00:00:00+00:00,1,1,,
2024-09-18 00:00:00+00:00,9,4,1.0,1.0
2024-09-19 00:00:00+00:00,3,1,1.0,1.0
2024-09-20 00:00:00+00:00,7,4,5.0,3.0
2024-09-22 00:00:00+00:00,1,1,,
2024-09-23 00:00:00+00:00,1,1,,
2024-09-24 00:00:00+00:00,9,1,2.0,2.0
2024-09-25 00:00:00+00:00,7,2,,
2024-09-26 00:00:00+00:00,20,3,4.0,2.0
