time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-18 00:00:00+00:00,30,6,,
2023-08-19 00:00:00+00:00,1,1,7.0,1.0
2023-08-20 00:00:00+00:00,10,2,,
2023-08-21 00:00:00+00:00,36,6,20.0,2.0
2023-08-22 00:00:00+00:00,52,3,1.0,1.0
2023-08-23 00:00:00+00:00,8,1,,
2023-08-24 00:00:00+00:00,18,2,1.0,1.0
2023-08-25 00:00:00+00:00,8,1,17.0,3.0
2023-08-28 00:00:00+00:00,2,2,,
2023-08-29 00:00:00+00:00,32,4,28.0,5.0
2023-08-30 00:00:00+00:00,9,2,1.0,1.0
2023-08-31 00:00:00+00:00,19,3,,
