url_path,views_total,views_unique
/TouK/nussknacker-helm,8,7
/TouK/nussknacker-helm/blob/main/setup.sh,5,1
/TouK/nussknacker-helm/tree/main/src,4,1
/TouK/nussknacker-helm/actions/workflows/helm-test-workflow.yaml,3,1
/TouK/nussknacker-helm/actions,2,1
/TouK/nussknacker-helm/actions/runs/6903455838,2,1
/TouK/nussknacker-helm/blob/84ba21d28c033af18467bf5b8cac9d3aa865f38a/src/values.yaml,2,1
/TouK/nussknacker-helm/blob/main/src/Chart.yaml,2,1
/TouK/nussknacker-helm/blob/main/src/templates/deployment.yaml,2,1
/TouK/nussknacker-helm/blob/main/src/values.yaml,2,1
