time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-20 00:00:00+00:00,4,1,0,0
2023-01-23 00:00:00+00:00,4,1,1,1
2023-01-24 00:00:00+00:00,8,1,0,0
2023-01-25 00:00:00+00:00,11,1,0,0
2023-01-26 00:00:00+00:00,8,1,0,0
2023-01-27 00:00:00+00:00,12,1,78,3
2023-01-29 00:00:00+00:00,0,0,3,2
2023-01-30 00:00:00+00:00,0,0,32,3
2023-01-31 00:00:00+00:00,5,2,17,4
2023-02-01 00:00:00+00:00,12,1,1,1
2023-02-02 00:00:00+00:00,4,1,1,1
2023-02-03 00:00:00+00:00,8,1,1,1
2023-02-04 00:00:00+00:00,0,0,3,1
2023-02-05 00:00:00+00:00,0,0,1,1
2023-02-07 00:00:00+00:00,8,1,12,3
2023-02-08 00:00:00+00:00,27,5,13,1
2023-02-09 00:00:00+00:00,4,1,21,3
2023-02-10 00:00:00+00:00,4,1,2,1
2023-02-11 00:00:00+00:00,1,1,0,0
2023-02-13 00:00:00+00:00,19,4,1,1
2023-02-14 00:00:00+00:00,0,0,10,1
