time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-23 00:00:00+00:00,0,0,19,1
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-25 00:00:00+00:00,1,1,2,1
2024-10-28 00:00:00+00:00,1,1,22,1
2024-10-31 00:00:00+00:00,0,0,1,1
2024-11-03 00:00:00+00:00,1,1,0,0
2024-11-04 00:00:00+00:00,0,0,8,2
2024-11-05 00:00:00+00:00,0,0,7,1
2024-11-06 00:00:00+00:00,0,0,1,1
2024-11-08 00:00:00+00:00,1,1,0,0
2024-11-13 00:00:00+00:00,0,0,3,1
2024-11-14 00:00:00+00:00,1,1,1,1
2024-11-15 00:00:00+00:00,0,0,6,1
2024-11-20 00:00:00+00:00,0,0,3,2
2024-11-21 00:00:00+00:00,0,0,1,1
