time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-03 00:00:00+00:00,3,2,49.0,1.0
2023-09-04 00:00:00+00:00,13,2,8.0,3.0
2023-09-05 00:00:00+00:00,7,1,53.0,5.0
2023-09-06 00:00:00+00:00,22,1,58.0,3.0
2023-09-07 00:00:00+00:00,4,2,14.0,6.0
2023-09-08 00:00:00+00:00,16,3,9.0,3.0
2023-09-09 00:00:00+00:00,3,2,1.0,1.0
2023-09-10 00:00:00+00:00,2,1,,
2023-09-11 00:00:00+00:00,12,1,20.0,3.0
2023-09-12 00:00:00+00:00,24,3,7.0,3.0
2023-09-13 00:00:00+00:00,34,3,18.0,3.0
2023-09-14 00:00:00+00:00,9,3,35.0,3.0
2023-09-15 00:00:00+00:00,17,1,7.0,3.0
2023-09-16 00:00:00+00:00,3,2,2.0,1.0
