url_path,views_total,views_unique
/TouK/nussknacker-quickstart,38,21
/TouK/nussknacker-quickstart/tree/main/docker,27,5
/TouK/nussknacker-quickstart/tree/main/docker/streaming,22,4
/TouK/nussknacker-quickstart/tree/main/docker/common,21,4
/TouK/nussknacker-quickstart/actions/workflows/pr.yml,13,2
/TouK/nussknacker-quickstart/tree/main/common,12,5
/TouK/nussknacker-quickstart/actions,12,4
/TouK/nussknacker-quickstart/blob/main/docker/streaming/docker-compose-streaming.yml,12,3
/TouK/nussknacker-quickstart/tree/main,9,6
/TouK/nussknacker-quickstart/pull/155,8,4
