url_path,views_total,views_unique
/TouK/nussknacker-sample-components/tree/main/components,14,4
/TouK/nussknacker-sample-components/pull/40,13,1
/TouK/nussknacker-sample-components/tree/main/docker,11,3
/TouK/nussknacker-sample-components,10,4
/TouK/nussknacker-sample-components/tree/main/components/src/main,10,3
/TouK/nussknacker-sample-components/tree/main/components/src/main/scala/pl/touk/nussknacker/sample,7,2
/TouK/nussknacker-sample-components/tree/main/project,7,2
/TouK/nussknacker-sample-components/blob/main/docker/Dockerfile,5,2
/TouK/nussknacker-sample-components/tree/main,5,2
/TouK/nussknacker-sample-components/pull/41,5,1
