time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-20 00:00:00+00:00,1,1,0,0
2023-01-23 00:00:00+00:00,1,1,0,0
2023-01-24 00:00:00+00:00,2,1,0,0
2023-01-25 00:00:00+00:00,3,1,6,2
2023-01-26 00:00:00+00:00,2,1,1,1
2023-01-27 00:00:00+00:00,2,1,0,0
2023-01-30 00:00:00+00:00,0,0,2,2
2023-01-31 00:00:00+00:00,1,1,2,2
2023-02-01 00:00:00+00:00,3,1,0,0
2023-02-02 00:00:00+00:00,1,1,0,0
2023-02-03 00:00:00+00:00,2,1,0,0
2023-02-07 00:00:00+00:00,2,1,0,0
2023-02-08 00:00:00+00:00,1,1,1,1
2023-02-09 00:00:00+00:00,1,1,0,0
2023-02-10 00:00:00+00:00,1,1,0,0
2023-02-13 00:00:00+00:00,4,2,7,1
2023-02-16 00:00:00+00:00,4,2,2,1
2023-02-17 00:00:00+00:00,9,6,1,1
2023-02-19 00:00:00+00:00,0,0,1,1
2023-02-20 00:00:00+00:00,1,1,0,0
2023-02-22 00:00:00+00:00,2,1,6,1
2023-02-23 00:00:00+00:00,6,2,0,0
2023-02-24 00:00:00+00:00,1,1,0,0
2023-02-27 00:00:00+00:00,4,1,0,0
2023-02-28 00:00:00+00:00,3,1,5,2
2023-03-02 00:00:00+00:00,6,3,0,0
2023-03-03 00:00:00+00:00,3,1,13,1
2023-03-04 00:00:00+00:00,1,1,0,0
