url_path,views_total,views_unique
/TouK/nussknacker-sample-helpers/tree/main/src/main,7,1
/TouK/nussknacker-sample-helpers/tree/main/helpers,5,1
/TouK/nussknacker-sample-helpers/blob/main/build.gradle.kts,4,1
/TouK/nussknacker-sample-helpers/tree/main/src/main/resources/META-INF/services,4,1
/TouK/nussknacker-sample-helpers/tree/main/src/main/scala/pl/touk/nussknacker/sample,4,1
/touk/nussknacker-sample-helpers,2,2
/TouK/nussknacker-sample-helpers/blob/main/helpers/build.gradle.kts,2,1
/TouK/nussknacker-sample-helpers/blob/main/nussknacker.version,2,1
/TouK/nussknacker-sample-helpers/blob/main/readme.md,2,1
/TouK/nussknacker-sample-helpers/blob/main/settings.gradle.kts,2,1
