time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-20 00:00:00+00:00,2,1,0,0
2023-08-24 00:00:00+00:00,0,0,1,1
2023-08-29 00:00:00+00:00,2,1,0,0
2023-08-30 00:00:00+00:00,0,0,8,1
2023-08-31 00:00:00+00:00,0,0,1,1
2023-09-07 00:00:00+00:00,1,1,0,0
2023-09-16 00:00:00+00:00,2,1,0,0
2023-10-09 00:00:00+00:00,2,1,0,0
2023-10-12 00:00:00+00:00,0,0,15,1
2023-10-24 00:00:00+00:00,0,0,11,2
2023-10-26 00:00:00+00:00,1,1,39,1
2023-10-30 00:00:00+00:00,0,0,2,1
2023-10-31 00:00:00+00:00,0,0,2,1
2023-11-01 00:00:00+00:00,0,0,1,1
