time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-23 00:00:00+00:00,0,0,7,1
2023-02-12 00:00:00+00:00,1,1,0,0
2023-02-16 00:00:00+00:00,2,1,0,0
2023-02-23 00:00:00+00:00,1,1,0,0
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-12 00:00:00+00:00,1,1,0,0
2023-03-15 00:00:00+00:00,0,0,5,1
2023-03-17 00:00:00+00:00,0,0,6,1
2023-03-21 00:00:00+00:00,0,0,1,1
2023-03-25 00:00:00+00:00,0,0,1,1
2023-03-27 00:00:00+00:00,0,0,1,1
2023-04-01 00:00:00+00:00,0,0,3,1
2023-04-02 00:00:00+00:00,0,0,9,2
2023-04-07 00:00:00+00:00,0,0,1,1
2023-04-19 00:00:00+00:00,0,0,2,1
2023-04-20 00:00:00+00:00,0,0,13,1
2023-04-24 00:00:00+00:00,1,1,0,0
2023-05-04 00:00:00+00:00,1,1,22,1
2023-05-08 00:00:00+00:00,0,0,3,1
2023-05-21 00:00:00+00:00,1,1,0,0
2023-05-23 00:00:00+00:00,2,1,0,0
2023-05-25 00:00:00+00:00,0,0,1,1
2023-05-27 00:00:00+00:00,1,1,0,0
2023-06-22 00:00:00+00:00,2,1,0,0
2023-06-24 00:00:00+00:00,1,1,0,0
2023-06-30 00:00:00+00:00,3,3,0,0
2023-07-28 00:00:00+00:00,2,1,0,0
2023-08-06 00:00:00+00:00,1,1,0,0
2023-08-08 00:00:00+00:00,3,3,0,0
2023-08-17 00:00:00+00:00,1,1,0,0
2023-08-20 00:00:00+00:00,2,1,0,0
2023-08-28 00:00:00+00:00,1,1,0,0
2023-08-29 00:00:00+00:00,2,1,0,0
2023-09-01 00:00:00+00:00,2,1,0,0
2023-09-04 00:00:00+00:00,1,1,0,0
2023-09-07 00:00:00+00:00,0,0,3,1
2023-09-08 00:00:00+00:00,1,1,12,1
2023-09-11 00:00:00+00:00,0,0,3,1
2023-09-15 00:00:00+00:00,1,1,0,0
2023-10-09 00:00:00+00:00,2,1,0,0
2023-10-24 00:00:00+00:00,0,0,5,1
2023-10-29 00:00:00+00:00,0,0,1,1
2023-11-01 00:00:00+00:00,1,1,0,0
2023-11-09 00:00:00+00:00,0,0,19,1
2023-11-26 00:00:00+00:00,0,0,3,1
2023-12-10 00:00:00+00:00,1,1,0,0
2023-12-17 00:00:00+00:00,1,1,0,0
2023-12-20 00:00:00+00:00,0,0,3,1
2023-12-21 00:00:00+00:00,0,0,5,1
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-08 00:00:00+00:00,1,1,0,0
2024-01-12 00:00:00+00:00,1,1,0,0
2024-02-08 00:00:00+00:00,0,0,1,1
2024-02-12 00:00:00+00:00,0,0,4,2
2024-02-13 00:00:00+00:00,0,0,1,1
2024-02-16 00:00:00+00:00,1,1,0,0
2024-03-05 00:00:00+00:00,0,0,1,1
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-28 00:00:00+00:00,1,1,0,0
2024-03-29 00:00:00+00:00,1,1,2,1
2024-04-08 00:00:00+00:00,0,0,1,1
2024-04-22 00:00:00+00:00,0,0,10,1
2024-05-02 00:00:00+00:00,1,1,0,0
2024-05-08 00:00:00+00:00,0,0,1,1
2024-05-16 00:00:00+00:00,0,0,1,1
2024-05-21 00:00:00+00:00,2,1,0,0
2024-05-24 00:00:00+00:00,1,1,0,0
2024-05-25 00:00:00+00:00,1,1,1,1
2024-06-07 00:00:00+00:00,0,0,8,2
2024-06-14 00:00:00+00:00,2,2,0,0
2024-06-19 00:00:00+00:00,1,1,0,0
2024-06-26 00:00:00+00:00,0,0,1,1
2024-07-02 00:00:00+00:00,0,0,1,1
2024-07-16 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,0,0,2,1
2024-08-19 00:00:00+00:00,1,1,0,0
