time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-20 00:00:00+00:00,338,24,159,39
2023-04-21 00:00:00+00:00,393,8,138,20
2023-04-22 00:00:00+00:00,45,8,27,15
2023-04-23 00:00:00+00:00,40,11,15,10
2023-04-24 00:00:00+00:00,376,13,133,27
2023-04-25 00:00:00+00:00,315,37,220,36
2023-04-26 00:00:00+00:00,229,9,217,42
2023-04-27 00:00:00+00:00,128,11,160,34
2023-04-28 00:00:00+00:00,164,21,138,30
2023-04-29 00:00:00+00:00,46,7,26,15
2023-04-30 00:00:00+00:00,90,11,9,6
2023-05-01 00:00:00+00:00,43,12,19,11
2023-05-02 00:00:00+00:00,92,11,115,29
2023-05-03 00:00:00+00:00,96,10,128,32
