time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-20 00:00:00+00:00,50,5,47,12
2023-01-21 00:00:00+00:00,13,3,48,25
2023-01-22 00:00:00+00:00,18,8,19,10
2023-01-23 00:00:00+00:00,4476,7,250,35
2023-01-24 00:00:00+00:00,170,9,205,25
2023-01-25 00:00:00+00:00,217,10,415,35
2023-01-26 00:00:00+00:00,307,13,407,23
2023-01-27 00:00:00+00:00,422,12,531,23
2023-01-28 00:00:00+00:00,73,4,34,12
2023-01-29 00:00:00+00:00,43,11,61,15
2023-01-30 00:00:00+00:00,750,9,334,32
2023-01-31 00:00:00+00:00,95,8,144,27
2023-02-01 00:00:00+00:00,145,14,133,30
2023-02-02 00:00:00+00:00,83,10,35,20
2023-02-03 00:00:00+00:00,69,8,45,23
2023-02-04 00:00:00+00:00,22,6,30,12
2023-02-05 00:00:00+00:00,23,11,16,10
2023-02-06 00:00:00+00:00,115,8,155,24
