url_path,views_total,views_unique
/TouK/recommendations-showcase/pull/7,22,4
/TouK/recommendations-showcase/pulls,22,3
/TouK/recommendations-showcase/pull/7/files,17,4
/TouK/recommendations-showcase,10,4
/TouK/recommendations-showcase-notebook/pull/7,10,4
/TouK/recommendations-showcase-notebook/pull/6,10,3
/TouK/recommendations-showcase/blob/22129abfea5e102f3b8939ed71c8bc39d9baf9af/blogpost/blogpost.md,10,2
/TouK/recommendations-showcase-notebook,9,3
/TouK/recommendations-showcase-notebook/pull/7/files,7,3
/TouK/recommendations-showcase-notebook/pull/8,6,2
