time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-24 00:00:00+00:00,2,2,11,1
2024-10-25 00:00:00+00:00,1,1,6,1
2024-10-29 00:00:00+00:00,0,0,3,1
2024-10-30 00:00:00+00:00,0,0,7,1
2024-10-31 00:00:00+00:00,0,0,1,1
2024-11-05 00:00:00+00:00,0,0,4,1
2024-11-06 00:00:00+00:00,2,2,3,1
2024-11-08 00:00:00+00:00,1,1,16,2
2024-11-13 00:00:00+00:00,1,1,4,1
2024-11-14 00:00:00+00:00,1,1,0,0
2024-11-15 00:00:00+00:00,0,0,13,2
2024-11-16 00:00:00+00:00,1,1,1,1
2024-11-18 00:00:00+00:00,0,0,30,3
2024-11-19 00:00:00+00:00,0,0,15,2
2024-11-20 00:00:00+00:00,1,1,38,2
